gene,orf name
ASE1,YOR058C
CIS1,YDR022C
BCK2,YER167W
BFA1,YJR053W
BIK1,YCL029C
BIM1,YER016W
BMH1,YER177W
BUB2,YMR055C
CDH1,YGL003C
DMA1,YHR115C
DMA2,YNL116W
CIN4,YMR138W
CIN8,YEL061C
CLB1,YGR108W
CLB2,YPR119W
CLB3,YDL155W
CLB4,YLR210W
CLB5,YPR120C
CLB6,YGR109C
CLN1,YMR199W
CLN2,YPL256C
CLN3,YAL040C
CNN1,YFR046C
CSM3,YMR048W
CTF19,YPL018W
CTF3,YLR381W
DCR2,YLR361C
DDC1,YPL194W
DOC1,YGL240W
DYN1,YKR054C
ESC2,YDR363W
FAR1,YJL157C
FIN1,YDR130C
FPR3,YML074C
GRR1,YJR090C
HOP1,YIL072W
HUG1,YML058W-A
XRN1,YGL173C
KIP1,YBL063W
KIP2,YPL155C
KIP3,YGL216W
LTE1,YAL024C
MAD1,YGL086W
MAD2,YJL030W
MAD3,YJL013C
MCM16,YPR046W
MCM21,YDR318W
MCM22,YJR135C
MEC3,YLR288C
MMS4,YBR098W
MND2,YIR025W
MRC1,YCL061C
NDJ1,YOL104C
NKP1,YDR383C
NKP2,YLR315W
OPY2,YPR075C
PAC11,YDR488C
PAC1,YOR269W
PCH2,YBR186W
PCL10,YGL134W
PCL1,YNL289W
PCL2,YDL127W
PCL9,YDL179W
PHO80,YOL001W
PIN4,YBL051C
RAD17,YOR368W
RAD24,YER173W
RAD9,YDR217C
RED1,YLR263W
RMI1,YPL024W
RTS1,YOR014W
SEM1,YDR363W-A
SGS1,YMR190C
SMI1,YGR229C
SNF3,YDL194W
SPO12,YHR152W
SPO13,YHR014W
SRC1,YML034W
STE50,YCL032W
SWM1,YDR260C
TOF1,YNL273W
TOF2,YKR010C
VIK1,YPL253C
YBP2,YGL060W
ZDS1,YMR273C
ZDS2,YML109W
ADA2,YDR448W
AHC1,YOR023C
ARP5,YNL059C
ARP6,YLR085C
ARP8,YOR141C
ASF1,YJL115W
ASH1,YKL185W
BRE1,YDL074C
BRE2,YLR015W
BTT1,YDR252W
BUR2,YLR226W
RLF2,YPR018W
CAC2,YML102W
CAF120,YNL278W
CAF130,YGR134W
CAF16,YFL028C
CAF40,YNL288W
CAF4,YKR036C
CCR4,YAL021C
CDC73,YLR418C
CHD1,YER164W
CHZ1,YER030W
CPR1,YDR155C
CTI6,YPL181W
CTR9,YOL145C
DEP1,YAL013W
DLS1,YJL065C
DOT1,YDR440W
DOT6,YER088C
DPB4,YDR121W
EAF1,YDR359C
EAF3,YPR023C
EAF5,YEL018W
EAF6,YJR082C
EAF7,YNL136W
ECM5,YMR176W
ESC8,YOL017W
GCN5,YGR252W
HAT1,YPL001W
HAT2,YEL056W
HDA1,YNL021W
HDA2,YDR295C
HDA3,YPR179C
HFI1,YPL254W
HHF1,YBR009C
HHF2,YNL030W
HHT1,YBR010W
HHT2,YNL031C
HIF1,YLL022C
HIR1,YBL008W
HIR2,YOR038C
HIR3,YJR140C
HMT1,YBR034C
HOS1,YPR068C
HOS2,YGL194C
HOS4,YIL112W
HPC2,YBR215W
HST1,YOL068C
HTA2,YBL003C
HTB2,YBL002W
HTL1,YCR020W-B
HTZ1,YOL012C
IES1,YFL013C
IES2,YNL215W
IES3,YLR052W
IES4,YOR189W
IES5,YER092W
IES6,YEL044W
IOC2,YLR095C
IOC3,YFR013W
IOC4,YMR044W
ISW1,YBR245C
ISW2,YOR304W
ITC1,YGL133W
JHD1,YER051W
JHD2,YJR119C
LDB7,YBL006C
LEO1,YOR123C
LGE1,YPL055C
GAL11,YOL051W
SIN4,YNL236W
SRB5,YGR104C
MED1,YPR070W
SRB2,YHR041C
MED2,YDL005C
SOH1,YGL127C
PGD1,YGL025C
NUT1,YGL151W
CSE2,YNR010W
MSI1,YBR195C
NAP1,YKR048C
NGG1,YDR176W
NHP10,YDL002C
NOT3,YIL038C
MOT2,YER068W
NPL6,YMR091C
NTO1,YPR031W
PAF1,YBR279W
PHO23,YNL097C
RAD6,YGL058W
RCO1,YMR075W
RFM1,YOR279C
RPD3,YNL330C
RSC1,YGR056W
RSC2,YLR357W
RSC30,YHR056C
RTF1,YGL244W
RTG2,YGL252C
RTT102,YGR275W
RTT106,YNL206C
RTT109,YLL002W
RXT2,YBR095C
RXT3,YDL076C
SAP30,YMR263W
SAS2,YMR127C
SAS3,YBL052C
SAS4,YDR181C
SAS5,YOR213C
SDC1,YDR469W
SDS3,YIL084C
SET1,YHR119W
SET2,YJL168C
SET3,YKR029C
SGF11,YPL047W
