Gene stable ID	NCBI gene ID
YPL071C	856034
YLL050C	850676
YMR172W	855208
YOR185C	854357
YLL032C	850627
YBR225W	852526
YEL041W	856670
YOR237W	854412
YMR027W	855042
YBR182C-A	1466446
YKL103C	853758
YOL048C	854109
tG(GCC)O1	
YIR015W	854832
YNR017W	855751
tD(GUC)Q	
YBL055C	852225
tL(UAA)K	
YML089C	
YOL144W	854021
snR8	
YDL246C	851351
YDL243C	851354
YDR387C	851995
YMR290C	855335
YOR082C	
YCR031C	850397
YBR293W	852596
YJL160C	853280
YBR223W-A	
YMR139W	855170
YNL105W	
YDL094C	
YDR438W	852048
YDR523C	852135
YDR542W	852155
YIL156W-A	
YLR466W	851187
YPL208W	855893
YLR054C	850743
YER011W	856729
YLR437C	851157
YPL102C	
YNR069C	855806
RUF22	
YDR492W	852102
YIL115W-A	
YMR191W	855229
YIL086C	
YOL072W	854082
YOR114W	854281
YIL156W-B	3628034
YHR094C	856494
YOL085C	
YFL031C-A	
YHL031C	856354
YOR385W	854567
YGL087C	852793
YMR244C-A	855287
YNL306W	855410
YOR214C	854389
YAL037W	851194
tT(AGU)I2	
YLR217W	
YLL056C	850670
YOL119C	854030
YJL204C	853226
YAL016W	851217
YIL146C	854660
YCL011C	850346
YLR128W	850819
YKL131W	
tV(AAC)K1	
YDR018C	851581
YOR019W	854184
YNL288W	855428
YCL040W	850317
YER158W-A	
YNL191W	855530
YBR115C	852412
YGL156W	852721
YNL150W	
YCR052W	850419
YGL015C	852869
snR53	
YOR206W	854381
YMR091C	855116
YMR173W-A	
YJR105W	853569
YHL002W	856387
YCR100C	850464
YOR345C	
YPL217C	855884
YOR341W	854519
YDL189W	851338
YLR279W	
YHR219C-A	
YER056C-A	856784
YMR180C	855218
YNL097C	855626
YDR508C	852121
tT(CGU)K	
tN(GUU)N1	
RME2	
snR69	
YHR045W	856441
YML020W	854988
YGR251W	853166
YPL197C	
YBR031W	852319
YDR462W	852073
YPR139C	856261
YPR169W	856298
YPL257W	855818
YOL088C	854065
YLR075W	850764
YML088W	854886
YIL010W	854805
YBL108C-A	
YDR175C	851755
YLR052W	850741
YKR004C	853873
YNL137C	855585
YNL331C	855385
YFL026W	850518
YBR116C	
YJR129C	853593
YKR092C	853967
YDR186C	851767
snR41	
YML077W	854898
YEL067C	856643
YJL139C	853302
YKL002W	853868
YGR162W	853071
YLR159C-A	1466410
YLR159C-A	1466411
YLR159C-A	1466415
YLR159C-A	1466414
YDR150W	851727
YEL054C	852026
YEL054C	856656
YOR392W	
YPL009C	856098
YLR025W	850712
tK(UUU)G2	
YDR243C	851830
YGR005C	852888
YOR160W	854331
YLR049C	850738
YLR308W	851017
YOR084W	854251
YNL030W	852294
YNL030W	855701
YHR084W	856484
YLR032W	850719
YOR039W	854204
YBR241C	852543
YEL047C	856664
YML125C	854914
YOR264W	854437
YPL183C	855919
ETS2-2	
YNL297C	855420
YPR065W	856178
YNL102W	855621
YPR099C	
YCR107W	850471
YMR318C	855368
YPR032W	856144
YOR281C	854456
YMR115W	855142
YFR027W	850584
YMR266W	855308
tM(CAU)P	
YDL182W	851346
tK(UUU)O	
YER146W	856889
YLR251W	850953
YBR182C	852480
YDR362C	851964
YNR026C	855760
YBR134W	
YHR126C	856527
tA(AGC)K1	
YPR194C	856324
YGL160W	852716
YAL003W	851260
YPL084W	856021
YNL152W	855570
YCL002C	850353
YIL117C	854689
YBL037W	852243
YNL140C	855582
YDR232W	851818
YJL062W-A	853383
YBR019C	852307
YBR022W	852310
YDR158W	851736
YOR230W	854405
YNL099C	855624
YKL173W	853681
YER159C	856904
YML057W	854946
snR46	
YML055W	854949
YDR439W	852049
YBR121C-A	
YJL110C	853334
YNL182C	855539
YJR088C	853550
YMR105C	855131
YOR144C	854315
YPR101W	856216
YPL179W	855923
YCL024W	850334
YNL180C	855541
YLR321C	851032
YPL224C	855877
YOL081W	854073
YNR001C	855732
YOL052C	854105
YOR285W	854459
YIL050W	854761
YMR268C	855310
tG(GCC)P2	
YDL206W	851321
YLR327C	851037
YBR119W	852416
YDR125C	851703
YFR052W	850613
tD(GUC)G1	
snR17b	
YLR154C-H	1466414
YLR154C-H	1466415
YLR154C-H	1466411
YLR154C-H	1466410
YGL211W	852661
